t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
31.2431294444 0.6324703158 -0.9762317396 4.9993217850 98.2531017479 32.5807765749 4.0474046165 -4.2021666820 4.9022972682 
31.5113545271 1.6964970090 -0.9303508604 4.9975502046 98.8846352406 32.8325196257 4.4364838502 -3.1092395623 4.9187084361 
31.7790375048 0.5192126106 -1.1523876069 4.9987281075 98.6173794790 33.0898630827 4.2824366597 -3.6145673184 4.9119482366 
32.0660407284 0.8494021031 -1.1761652092 4.9997314305 98.3926797927 33.2511516705 4.2365155917 -3.1266052445 4.9250125848 
32.3445093001 1.4105629002 -0.4462567789 4.9976240328 99.2177213807 33.4941944181 4.3714937123 -3.7707480865 4.9047799259 
32.6293058485 0.8249001962 -1.3772281850 4.9991351948 99.1404314083 33.6850981335 4.1339254572 -3.3059244318 4.9243061187 
32.8962985461 1.0358642427 -1.1632604268 4.9998602989 98.7484913616 33.9714956034 3.9507936525 -3.3893681572 4.9279186832 
33.1819617668 0.8629888890 -0.3326425196 4.9976793097 99.2298013372 34.2565702542 4.9639904043 -3.7984847788 4.8822763151 
33.4391678659 1.2471607505 -1.5565367536 4.9981458920 98.5062765428 34.5526820775 4.2132613044 -3.5294438094 4.9163843290 
33.7231565557 1.0669143650 -1.0031586883 4.9999775625 98.9699514702 34.8043409253 3.9147308856 -3.7027897686 4.9209963567 
34.0203630670 0.4095280402 -0.6583483862 4.9976730852 99.2517676251 35.0860543418 4.8586662956 -3.2296182668 4.9006974840 
34.2988906582 1.4413138574 -1.1549845952 4.9989061093 99.0354046562 35.3401434449 3.8610079118 -3.9221093738 4.9163795527 
34.5717110673 1.1588941748 -0.9556643987 4.9998639350 98.8589988598 35.6097686833 4.2815865360 -3.6318865739 4.9115218143 
34.8576969365 0.3516035020 -1.2145847643 4.9976676768 99.3390033284 35.8402949341 4.3007483157 -3.2986229620 4.9191069652 
35.1454383435 1.3513512261 -0.8197282635 4.9992202721 99.2921267650 36.0615025053 4.2886061220 -3.9111284976 4.9035520032 
35.4100981306 1.0782211643 -0.8516889926 4.9998594265 98.7809651569 36.3199763083 4.1348946810 -2.8715777913 4.9333481596 
35.6883536272 0.7316195855 -1.6158249191 4.9977436581 99.6736299795 36.5966027183 4.4768467610 -4.0010572660 4.8945259594 
35.9862880467 1.0955170897 -0.6527195742 4.9993513640 99.6439326364 36.8484584128 4.1986216624 -3.3628445800 4.9209289248 
36.2737188029 0.9085906849 -0.6063922076 4.9991835862 98.9955645138 37.1343653558 3.7550534502 -3.2064093997 4.9377071902 
36.5157923510 1.2617871929 -1.5807478141 4.9979709972 99.6432998344 37.4067906112 4.8647792477 -3.6872059987 4.8892120264 
36.8139455653 0.7504133243 -0.6360407561 4.9990262008 99.3953213900 37.6988384800 4.2132215616 -3.4308936767 4.9188298156 
37.1144763138 0.6243815875 -0.7957252713 4.9990859132 99.0069210492 37.9689264098 3.7055839915 -3.6511760579 4.9282554039 
